City,Name,Nosah,Address
מגדל העמק,האשכנזי המרכזי,ספרד," קדש 30
"
מגדל העמק,נר יוסף,מרוקו," הנגב 4
"
מגדל העמק,עולי בבל,עדות המזרח,"שלום עליכם 18
"
מגדל העמק,רבי דוד ומשה,מרוקו," קדש 5
"
מגדל העמק,שער שמעון אטיאס,מרוקו,"השוהם 8
"
מגדל העמק,תורת אבות,עדות המזרח,"אביב  4
"
מודיעין,אוהל רחל,מרוקו,"אבני החושן  24
"
מודיעין,אחדות,ספרד,"אסתר המלכה 27
"
מודיעין,אמלל שיר,תימן,"תכלת 11 אבני חן
"
מודיעין,בית הכנסת קיפודן ספרדי,ספרד,"קיפודן 21 21
"
מודיעין,בן פורת יוסף,עדות המזרח,"עמק האלה 40
"
מודיעין,דביר מודיעין,עדות המזרח,"נחל פארן 31
"
מודיעין,היכל נחום,תימן בלדי,"נחל זוהר  24
"
מודיעין,היכל שמואל,עדות המזרח,"נחל תנינים 8
"
מודיעין,ובחרת בחיים,עדות המזרח,"מיכה 1
"
מודיעין עילית,אור יוסף,תימן," יהודה  הנשיא 51
"
מודיעין עילית,בן איש חי,עדות המזרח,"חתם סופר  10
"
מודיעין עילית,קהל חסידים,ספרד,"נתיבות שלום 6
"
מטע,כדורי,ספרד,"כליל החורש 38
"
מעלה אדומים,אהבת ישראל,מרוקו,"הדקל 1
"
מעלה אדומים,המרכזי,מרוקו,"הנחלים 94
"
מעלות תרשיחא,אליהו ומיכאל ,מרוקו,"הרצל  1
"
מעלות תרשיחא,אוהל אברהם,עדות המזרח,"האיריס 18
"
מעלות תרשיחא,החידא,עדות המזרח,"קורנית 25
"
מעלות תרשיחא,יגאל ישראל - שכונת הזיתים,עדות המזרח,"דולב 2
"
מצפה רמון,אחות דניאל ,עדות המזרח,"נחל רעף 8
"
נהריה,אביר יעקב,ספרד,"שכונת ממשלתי
"
נהריה,אברהם אבינו,ספרד,"השקד 29 - מול מגרשי ספורט
"
נהריה,אברהם אבינו,ספרד,"שפרינצק 42 (בתוך הפארק)
"
נהריה,אהבת שלום,ספרד,"קיבוץ גלויות 65
"
נהריה,אוהל חיים,עדות המזרח,"נחמיה 10
"
נהריה,אוצר התורה,ספרד,"החלוץ 34
"
נהריה,אור חדש,ספרד,"יהודה המכבי 12
"
נהריה,אלי כהן,ספרד,"קיבוץ גלויות 51
"
נהריה,אמת,תוניס,"יהודה המכבי 22
"
נהריה,בית יעקב,ספרד,"אחד העם 6
"
נהריה,בית יעקב הפועל המזרחי,עדות המזרח,"המייסדים 24
"
נהריה,בית מאיר,מרוקו,"הרצל 8
"
נהריה,ברכת אסתר,עדות המזרח,"המייסדים 31
"
נוה דניאל,מרכז רוחני ספרדי,עדות המזרח,"המוריה 200
"
נוף אילון,זכור לאברהם שלב א,ספרד,"החשן 40
"
נופים,נופים,עדות המזרח,"מרכז 1
"
נחלים,ישיבת נחלים,ספרד,"דן 54
"
ניר עציון,המרכזי,ספרד,"הכיכר 1
"
נירית,נירית,ספרד,"מירון 137
"
נס ציונה,בן איש חי,ספרד,"מכבי 4
"
נס ציונה,בן פורת יוסף,ספרד,"השיטת 20
"
נס ציונה,דרכי נועם,ספרד,"אהרון בוקסר 1
"
נס ציונה,הגדול אנשי יושר,ספרד,"נחשון  7
"
נס ציונה,חסידים,עדות המזרח,"גאולה  13
"
נס ציונה,שבזי,תימן,"העצמאות 32
"
נס ציונה,שכונת הפרוגרסיבים,ספרד,"בן גוריון  51
"
נצרת עילית,אורות עילית,מרוקו,"השקמה  1
"
נצרת עילית,בית הכנסת הספרדי המרכזי ברית שלום,מרוקו,"העליה 2
"
נצרת עילית,ברבירו,מרוקו,"תבור 421
"
נצרת עילית,עץ חיים,מרוקו,"הגפן  7
"
נצרת עילית,שומר ישראל,עדות המזרח,"המלאכה 1
"
נשר,אור יצחק,ספרד,"האלון 7
"
נשר,גבעת נשר,מרוקו,"החלוצים 1
"
נשר,הנוריות,ספרד,"הנוריות  13
"
נשר,יד-לאחים,מרוקו,"מעלה הגיבורים 1
"
נשר,משרדי חברת מאבל - מנחה בימות החול בלבד,עדות המזרח,"בר יהודה 52
"
נשר,רשבי,מרוקו,"הרב בר מוחא 3
"
נשר,תפילה לדוד,עדות המזרח,"עמוס 30
"
נתיבות,אור החיים,עדות המזרח,"אור לציון 4
"
נתיבות,בית יוסף כתר מרדכי,ספרד,"ירושלים 70 70
"
נתיבות,בית מדרש ברסלב,עדות המזרח,"שבטי ישראל 147
"
נתיבות,מאורות נתן,עדות המזרח,"בן גוריון 6
"
נתיבות,משכן שי חיים,עדות המזרח,"הרב צבאן 7
"
נתיבות,משכן שלמה,תוניס,"המשחררים 1
"
נתיבות,משכן ששון,עדות המזרח,"הצאלה 22
"
נתניה,הרחמן,עדות המזרח,"קהילת צפת 5
"
נתניה,´ביתא ישראל,עדות המזרח,"שיפר 8
"
נתניה,אבות ובנים,עדות המזרח,"יבנה 6
"
נתניה,אגודת אחים,ספרד,"ז'בוטינסקי 45
"
נתניה,אהבת שלום,מרוקו,"איזיק רמבה 6
"
נתניה,אהל יעקב,ספרד,"ראשון לציון  32
"
נתניה,אוהל אברהם ויוסף,תימן,"נוה שלום  18
"
נתניה,אוהל דניאל,מרוקו,"גד מכנס 28
"
נתניה,אוהל חנין,עדות המזרח,"רדק  1
"
נתניה,אוהל יצחק,ספרד,"חטיבת הראל  10
"
נתניה,אוהל משה,תימן,"חתם סופר  4
"
נתניה,אוהל עמרם,מרוקו,"שיטרית 22
"
עומר,ישראל הצעיר,ספרד,"הדס 1
"
עומר,שבטי ישראל,עדות המזרח,"ליבנה 1
"
עין הוד,נווה ציון,תימן,"פארק המדע 770
"
עכו, רז התורה ותקוות דוד,עדות המזרח,"הנדיב 1
"
עכו,אהבה ואחווה,מרוקו,"רמחל 20
"
עכו,האשכנזי המרכזי,ספרד,"ז´בוטינסקי 26
"
עכו,ישיבת ההסדר,ספרד,"דושינצקי 1
"
עכו,כולל אברכים+בית כנסת תפילה לדוד,מרוקו,"גיבורי סיני עכו 34
"
עכו,לעולי הקווקז,ספרד,"הס 11
"
עכו,מרום ציון,מרוקו,"אחד העם 19
"
עכו,על-שם שמעון לוזון,יוצאי לוב (טריפוליטאים),"יהודה הלוי 26
"
עלי,משכן עלי,ספרד,"הנורית 2
"
עלי,תפילת משה ורחל,עדות המזרח,"הורד 28
"
עפולה,בית יעקבמיוצאי טוניס,תוניס,"הקישון  1
"
עפולה,אהל ר´ יוסף,ספרד,"בציר 3
"
עפולה,אחוות אחים,תימן שאמי,"שיכון גאולים
"
עפולה,אחוות אחים,תימן שאמי,"הקישון 11
"
עפולה,בית ישראל עץ חיים,תימן בלדי,"הסוכנות היהודית  119
"
עפולה,היכל אברהם - המרכזי הספרדי,עדות המזרח,"יהושע חנקין 90
"
עפולה,היכל השבעה,עדות המזרח,"האלה 17
"
עץ אפרים,הוד והדר,ספרד,"ברוש 12
"
ערד,בית רחמים,עדות המזרח,"שמעון 42
"
ערד,השחר,ספרד,"אחווה 15
"
ערד,שובה ישראל שכונת גבים,עדות המזרח," יובל  40
"
פרדס חנה כרכור,אור ציון,תימן שאמי,"יוסף קארו / קרן היסוד 1
"
פרדסיה,נר לישראל,תימן שאמי,"שבזי 2
"
פתח תקוה, דוד ושלמה,תימן שאמי,"נורדאו 21
"
פתח תקוה,אמרי יוסף,עדות המזרח,"דובנוב 8
"
פתח תקוה,אהבת אחים,עדות המזרח,"שמואל הנגיד 4
"
פתח תקוה,אוהל אברהם (שעי בית אבות רקנאטי),עדות המזרח,"אינשטיין 23
"
פתח תקוה,אוהל יוסף,תימן בלדי,"דוד רמז 52
"
פתח תקוה,אוהל יצחק,ספרד,"יד הבנים 66
"
פתח תקוה,אוהל משה,עדות המזרח,"מזאה 3
"
פתח תקוה,אוהל שלום,תימן שאמי,"וינצקי 7
"
פתח תקוה,אולם אירועים,תימן שאמי,"שלומציון  14
"
צור הדסה,בית הכנסת הר כתרון,עדות המזרח,"הר כתרון 1
"
צפת,בית אהבה ותפילה,ספרד,"ירושלים 77
"
קדימה,אוהל משה וזכריה,ספרד,"הציפורים 10
"
קדימה,זכור לאברהם,מרוקו,"מג 1
"
קדרון,קדרון,ספרד,"הזית 1
"
קצרין,אדיר במרום,עדות המזרח,"מגדל  6
"
קצרין,תאיר שבת אחים,תימן בלדי,"זויתן 71
"
קרית אונו,אור ציון,עדות המזרח,"הרצל 34
"
קרית אונו,אמונה ודעת,תימן בלדי,"חנה סנש 17
"
קרית אונו,בית הכנסת הגדול קיראון,ספרד,"הגפן  14
"
קרית אונו,המרכזי,ספרד,"וינגייט 22
"
קרית אונו,יד הרמבם,תימן בלדי,"לוס אנג´לס  28
"
קרית אונו,עדת ישורון,עדות המזרח,"ירמיהו  3
"
קרית אונו,שילה,ספרד,"פנקס 38
"
קרית אונו,שערי צדק,ספרד,"הגפן 14
"
קרית ארבע,כינור דוד,תימן,"יהושע בן נון 15
"
קרית ארבע,עץ חיים,תימן בלדי,"בתלמוד תורה חברון
"
קרית אתא,אוהל יצחק,מרוקו,"שלום עליכם  1
"
קרית אתא,אור החיים,ספרד,"בית וגן 9
"
קרית אתא,איפרגן,מרוקו,"פרישמן 19
"
קרית אתא,אליהו הנביא לעולי אשור,עדות המזרח,"סוקולוב 57
"
קרית אתא,אליהו התשבי,עדות המזרח,"יוספטל 10
"
קרית אתא,בית אל,עדות המזרח,"הוגו מולר 48
"
קרית אתא,בית רבנו ע´´ש רבי נחמן מברסלב,עדות המזרח,"העצמאות  10
"
קרית אתא,במעלות הגיבורים,ספרד,"המייסדים 9
"
קרית אתא,היכל שלמה,ספרד,"יהודה הלוי 7
"
קרית ביאליק,אביר יעקב,מרוקו,"חרמון 1
"
קרית ביאליק,ביכנ עש רבי עקיבא (מקלט,מרוקו,"עצמאות  13
"
קרית ביאליק,בית משה והתקווה,ספרד,"הפטל  12
"
קרית ביאליק,דודאי ראובן,ספרד,"העצמאות 13
"
קרית ביאליק,נחלת אבות,עדות המזרח,"הפלמח 10
"
קרית ביאליק,שבת אחים,ספרד,"העלייה 1
"
קרית גת,(רבי דוד הלוי - דרע (גוזלן,מרוקו,"המרגלית  60
"
קרית גת,אור אבנר,עדות המזרח," עין עקרבים 6
"
קרית גת,בית הכנסת המרכזי כרמי גת,עדות המזרח,"נופך 2
"
קרית גת,גרוס,עדות המזרח,"אהוד בן גרא  3
"
קרית חיים,המרכזי הספרדי - בית אל,עדות המזרח,"הראשונים 108
"
קרית חיים,משמרת צעירה,ספרד,"שפירא 23
"
קרית טבעון,בית יעקב,מרוקו,"גורדון 3
"
קרית טבעון,בית שערים,ספרד," זבולון 9
"
קרית טבעון,הלל,ספרד,"יזרעאל 2
"
קרית טבעון,ספרדי,עדות המזרח,"שרת 3
"
קרית ים,- בית כנסת לצעירים בני עקיבא משכן דוד,ספרד,"אשר 1
"
קרית ים,אביר יעקוב,ספרד,"אילנות 1
"
קרית ים,אליהו הנביא,מרוקו,"יהודה הלוי 16
"
קרית ים,היכל נתנאל,ספרד,"יהודה הלוי 12
"
קרית ים,יעקוב ללשיוילי,עדות המזרח,"ספיר 25
"
קרית ים,מגן אברהם,ספרד,"תבור 13
"
קרית ים,משכן דוד,ספרד,"אשר 1
"
קרית ים,עמותת תפארת ישראל,ספרד,"הרברט להיימן  14
"
קרית ים,שערי משה,ספרד,"להיימן 15
"
קרית ים,תהילה לדוד,מרוקו,"הרצל  65
"
קרית ים,תלמוד תורה,תימן,"החשמונאים  6
"
קרית מוצקין,אהבת ישראל,מרוקו,"חיבת ציון  2
"
קרית מוצקין,אש התורה שלי,עדות המזרח,"חנה סנש - נתיב העליה 6
"
קרית מוצקין,בית הכנסת אשכנזי,ספרד,"ציגל 22
"
קרית מוצקין,בית מנחם,ספרד,"בן צבי 6
"
קרית מוצקין,גלית,ספרד,"ציגל 22
"
קרית מוצקין,הלווים,מרוקו,"דקר 72א
"
קרית מלאכי,גאולת ישראל,עדות המזרח,"שדרות הרב ניסים 10
"
קרית מלאכי,לעולי בבל הבן איש חי,עדות המזרח,"הגליל 4
"
קרית עקרון,דרכי נועם,תימן,"שלמה בן יוסף  23 23
"
קרית עקרון,שערי צדק,תימן,"השקד  4
"
קרית עקרון,תפארת יוסף,עדות המזרח,"דרך ירושלים 3
"
קרית שמואל,אליקים - אהרון הראה,ספרד,"הראה 10
"
קרית שמואל,בית הכנסת האשכנזי - הרומנים,ספרד,"משה חיים שפירא 20
"
קרית שמואל,ישיבה הרמה,ספרד,"קדושי השואה 13
"
קרית שמונה,אוהל יעקב,מרוקו,"דן 14
"
קרית שמונה,אור תורה,תוניס,"הרצל 26
"
קרית שמונה,ברסלב,עדות המזרח,"הנשיא 7
"
קרית שמונה,הכנסת אורחים,ספרד,"טרומפלדור 34
"
קרית שמונה,יד לאחים,עדות המזרח,"ביאליק 27
"
קרית שמונה,יד לבנים,עדות המזרח,"הרצל 39
"
קרית שמונה,ישיבת ההסדר,ספרד,"הרב הרצוג 10
"
קרני שומרון,תורת אבות,תימן," נווה מנחם-כלי שיר 0
"
ראש העין,היכל יד ושם,תימן בלדי,"גלוסקא 2
"
ראש העין,אהבת אחים,תימן שאמי,"גלוסקא 1
"
ראש העין,אהבת ישראל,ספרד,"יפה ירקוני 11
"
ראש העין,אוהל משה ועמנואל,תימן בלדי,"דוד המלך 50
"
ראש העין,אחוות אחים,תימן שאמי,"הרשש 0
"
ראש העין,אמת ושלום,תימן שאמי,"חפץ חיים 6
"
ראש העין,אפיקי תימן,תימן,"דרך הציונות 17
"
ראש העין,דברי קהלת,תימן,"אפק 25
"
ראש פינה,שבת אחים יחד, העתיק הספרדי,עדות המזרח,"החלוצים 21
"
ראשון לציון,הר המוריה,ספרד,"יצחק שדה  9
"
ראשון לציון,אבניי החושן,ספרד,"ה באיר 2
"
ראשון לציון,אברהם אבינו,עדות המזרח,"נחמה 17
"
ראשון לציון,אדמונד ספרא,עדות המזרח,"נווה דקלים 15
"
ראשון לציון,אהבת ציון,תימן,"הנוטרים 17
"
ראשון לציון,אוהל אברהם ורחל,תימן בלדי,"רמבם  24
"
ראשון לציון,אוהל רחל ויששכר אברהם,תימן שאמי,"ריינס  8
"
ראשון לציון,אור החיים,מרוקו,"ליד סביון 5 בתוך בית ספר מקיףה´
"
ראשון לציון,אור המיזרח,ספרד,"החבצלת  19
"
ראשון לציון,אור זרוע,מרוקו,"יעקב הכהן 34
"
ראשון לציון,אור חיים,מרוקו,"שלמה המלך 5
"
ראשון לציון,ארץ חמדה,עדות המזרח,"צג בנות 29
"
רחובות,אהבת ישראל,ספרד,"חפץ חיים 26
"
רחובות,אהווה ואחחווה,ספרד,"המעפיל 32
"
רחובות,אהל דבורה,ספרד,"ההגנה 64
"
רחובות,אהל יצחק,תימן,"יצחק משקה 7
"
רחובות,אוהל יוסף,ספרד,"יצחק משקה  8
"
רחובות,אוהל יוסף,תימן,"זכריה מאדר 10
"
רחובות,אוהל ישראל,עדות המזרח,"מגיני הגליל  47
"
רחובות,אוהל שושנה,תימן שאמי,"יעקב מדהלה 19 19
"
רכסים,אוהל יעקב - צנעני,תימן בלדי,"הרב קוק 27
"
רכסים,אור דוד,עדות המזרח,"הרקפות 5
"
רכסים,אורח החיים-דרייב,תימן שאמי,"הגפן 25
"
רמלה,אהל יצחק,עדות המזרח,"גיבורי ישראל 13
"
רמלה,אוהל אברהם,עדות המזרח,"בן צבי  20
"
רמלה,אוהל יוסף,עדות המזרח,"אברהם הלל  7
"
רמלה,בית יוסף עש רבי יוסף קארו זצ''ל זיע''א ,עדות המזרח,"ביאליק 48
"
רמלה,ברכת נוריאל,ספרד,"הזית  4
"
רמלה,גאולה,ספרד,"הרצל  31
"
רמלה,האהלה שרה,מרוקו,"ביאליק  24
"
רמלה,היכל הבנים,מרוקו,"האלונים 11
"
רמת אביב,בני עקיבא,ספרד,"אופנהיימר (שכונת נווה אביבים) 5
"
רמת אביב,היכל חיים,עדות המזרח,"אופנהיימר (שכונת נווה אביבים) 5
"
רמת אביב,הרמבם,עדות המזרח,"ברודצקי 21
"
רמת אביב,מקור חיים,תימן,"פיינשטיין 83
"
רמת אביב,משה וואהל,ספרד,"בורלא (שיכון ל´) 25
"
רמת אביב,משכן אחים,תימן,"ברודצקי 21
"
רמת בית שמש,כלל ישראל,ספרד,"נחל רפאים 17
"
רמת בית שמש,אור ברמה,עדות המזרח,"נחל מטע  2
"
רמת בית שמש,אשל אברהם,מרוקו,"נחל שורק 16
"
רמת בית שמש,נחלי הרמה,עדות המזרח,"נחל קטלב 2
"
רמת בית שמש,נחלי תפילה,ספרד,"נחל רפאים 1
"
רמת בית שמש,קהילת אהבה ושמחה - קרליבך,ספרד,"נחל דולב 70
"
רמת גן, ישיבת ההסדר רמת גן,ספרד,"אצל 39
"
רמת גן,אבא שלום שבזי,תימן,"אחד העם  10
"
רמת גן,אהבה ואחוה,עדות המזרח,"מלכי צדק 9
"
רמת גן,אהבת אחים,עדות המזרח,"באר אורה  15
"
רמת גן,אהל רחל,עדות המזרח,"תלפיות 19
"
רמת גן,אהל שמעון,יוצאי לוב (טריפוליטאים),"הבילויים 44
"
רמת גן,אוהל יעקב,עדות המזרח,"אהוד 8
"
רמת גן,אור ישרים,עדות המזרח,"האם  14
"
רמת גן,אחוה ורעות,עדות המזרח,"הדר 13
"
רמת גן,אחים רמבם,תימן,"סיירת דוכיפת 10
"
רמת גן,אשל אברהם בביהס בן איש חיל,עדות המזרח,"אצל 14
"
רמת גן,בית איילון ביטוח,ספרד,"אבא הילל 14
"
רמת השרון,בני עקיבא,עדות המזרח,"יצחק שדה 39
"
רמת השרון,מורשת אבות,ספרד,"הרב הרצוג 3
"
רמת השרון,סגולה,תימן,"נהרדעא 0
"
רמת השרון,סוכת שאול,עדות המזרח,"רבנו תם 4
"
רמת השרון,עונג שבת,ספרד,"השפלה  8
"
רמת השרון,פקר,ספרד,"המרי 1
"
רמת השרון,שבת אחים,ספרד,"התרבות 8
"
רמת פנקס,דאר סויד,עדות המזרח,"הרמא  42
"
רמת פנקס,עולי לוב עש הרב לביא זיעא,יוצאי לוב (טריפוליטאים),"הרמא  4
"
רעננה,בית ארי ,עדות המזרח,"הרצל 4
"
רעננה,אהבת ציון,ספרד,"הפלמח  15
"
רעננה,אוהל מועד,ספרד,"רמחל (ביס בסוף רחוב הר סיני) 13
"
רעננה,אוהל מרדכי,עדות המזרח,"אחוזה 80
"
רעננה,אוהל שלום,עדות המזרח,"סעדיה גאון 1
"
רעננה,אור ישראל,ספרד,"דוד רזיאל 2
"
רעננה,אל-עולם,עדות המזרח,"רבוצקי  56
"
רעננה,בילו,תימן שאמי,"פרץ 32
"
רעננה,בית הכנסת הגדול,ספרד,"אחוזה 101
"
רעננה,בית יהודה,עדות המזרח,"השוק 5
"
רעננה,בית ישראל,עדות המזרח,"השרון 30
"
רעננה,בית-אל,עדות המזרח,"קלאוזנר 5
"
שדה עוזיה,היכל ה,יוצאי לוב (טריפוליטאים),"אין 71
"
שדרות,אהבת שמעון,ספרד,"משעול זלמן שניאור 1
"
שדרות,בן צבי,מרוקו,"ניצן 1
"
שדרות,המרכזי תורה וחיים,מרוקו,"הורד  1
"
שדרות,חמודות דניאל,מרוקו,"בלפור 6
"
שדרות,יד אמיתי( מבורך),ספרד,"האלה 1
"
שוהם,מעלות נתן,ספרד,"רח' המכבים 94
"
שוהם,מרכדי ספרדי,עדות המזרח,"החרמון 1
"
שוהם,נר ברוך עש ברוך נסים בן יעקב ופולה,ספרד,"הקשת פינת הדקל 2
"
שערי תקוה,עטרת מרדכי,ספרד,"ספיר 24
"
שתולים,בית יעקב,תימן בלדי,"הראשונים 10
"
תל אביב,בית - אהרון,עדות המזרח,"אבוהדרם  3
"
תל אביב,בית אל עולי משהד,ספרד,"יהושע בן נון 63
"
תל אביב,עץ חיים,תימן בלדי,"טבריה 5
"
תל אביב,שבת אחים,תימן בלדי,"כרם התימנים רח´ קלישר  5
"
תל אביב,אב שלום,עדות המזרח,"בוגרשוב 63
"
תל אביב,אבל אברהם,מרוקו,"רוסלאן 5
"
תל אביב,אהל שלום,עדות המזרח,"התיבונים  3
"
תל אביב,אוהל אברהם שמואל ישיבת בית יוסף,ספרד,"חרייף אייזק 23
"
תל אביב,אוהל לאה,ספרד,"המשלטים 12
"
תל אביב,אוהל מועד,עדות המזרח,"שדרות רוטשילד  5
"
תל מונד,בית הכנסת עש רבי נחמן ברסלב,עדות המזרח,"האלון  18
"
תל מונד,מבשר ציון,ספרד,"הצופית  23
"
תל מונד,תפארת ישראל,תימן שאמי,"מצדה 12
"
